,Listing title,eBay item ID,Store category L1,Store category L2,Quantity sold,Total sales (Includes taxes),Item sales,Taxes and government fees paid by buyer to you,Taxes and government fees paid by buyer to eBay,Shipping and handling paid by buyer to you,Total selling costs,Insertion fees,Optional listing upgrade fees,Final value fees,Promoted Listings - General fees,Promoted Listings - Priority fees,Ads Express fees,Promoted Offsite - Fees,International fees,Other eBay fees,Deposit processing fees,Fee credits,Shipping labels cost (Amount you paid to buy shipping labels on eBay),Net sales (Net of taxes and selling costs),Average Selling price,Quantity sold via promoted listing,Quantity sold via Best Offers,Quantity sold via Seller Initiated Offers
69,"REESE'S Peanut Butter Snack Size Milk Chocolate Cups, 33 oz Bag (60 Pieces)",196171177181.0,Other,-,3.0,54.69,54.69,$0.00,$0.00,$0.00,$11.70,$0.00,$0.00,$7.05,$4.65,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.99,18.23,3,0,0
70,"Kirkland Signature Purified Drinking Water, 16.9 Ounce, 40 Count",196171181443.0,Other,-,3.0,74.47,74.47,$0.00,$0.00,$0.00,$16.98,$0.00,$0.00,$10.30,$6.33,$0.00,$0.00,$0.00,$0.35,$0.00,$0.00,$0.00,$0.00,57.49,24.82,3,0,0
71,"Tiptree Lemon Curd, 11 Ounce Jar (312g)",196171262555.0,Other,-,3.0,48.56,47.42,$0.00,$1.14,$0.00,$11.17,$0.00,$0.00,$6.90,$4.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,36.25,16.19,3,0,0
72,"Campbellâs Chunky Soup, Hearty Bean Soup With Ham, 19 Oz Can",196171264252.0,Other,-,3.0,16.41,16.41,$0.00,$0.00,$0.00,$2.33,$0.00,$0.00,$2.33,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,14.08,5.47,0,0,0
73,"Heinz Cleaning Vinegar, 128 Fl Oz Bottle",196171285767.0,Other,-,3.0,71.13,71.13,$0.00,$0.00,$0.00,$19.67,$0.00,$0.00,$9.08,$6.40,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$4.19,51.46,23.71,3,0,0
74,"Nature's Bounty Fish Oil, Supports Heart Health, 2400mg, Coated Softgels, 90 Ct.",196174513144.0,Other,-,3.0,65.34,65.34,$0.00,$0.00,$0.00,$19.50,$0.00,$0.00,$8.47,$5.88,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.15,45.84,21.78,3,0,0
75,"GNC Mega Men Sport One Daily Mens Multivitamin, 60 CAPLETS",196174527900.0,Other,-,3.0,54.25,54.25,$0.00,$0.00,$0.00,$9.21,$0.00,$0.00,$7.50,$1.71,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,45.04,18.08,1,0,0
76,Horjoy Fruits/Veggies & Vitamins Capsules: Nature's 90 Fruit & 90 Veggie for Die,196183734242.0,Other,-,3.0,171.32,169.09,$0.00,$2.23,$0.00,$44.46,$0.00,$0.00,$21.86,$16.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.33,124.63,57.11,3,0,0
77,"Mrs. Butterworth Pancake and Waffle Mix, 32 Ounce",196183788866.0,Other,-,3.0,21.11,21.11,$0.00,$0.00,$0.00,$5.20,$0.00,$0.00,$3.30,$1.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.91,7.04,3,0,0
78,HORMEL COMPLEATS Protein Variety Pack Microwave Trays (Pack of 5),196183791307.0,Other,-,3.0,72.83,72.83,$0.00,$0.00,$0.00,$16.51,$0.00,$0.00,$9.60,$6.91,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,56.32,24.28,3,0,0
79,"Pacific Foods Organic Chicken Noodle Soup, 16.1 OZ",196183835134.0,Other,-,3.0,22.5,21.63,$0.00,$0.87,$0.00,$5.22,$0.00,$0.00,$3.08,$2.14,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,16.41,7.5,3,0,0
80,Organico Bello Organic Pasta Sauce Tomato Basil - 25 oz,196183836449.0,Other,-,3.0,76.99,76.99,$0.00,$0.00,$0.00,$12.29,$0.00,$0.00,$10.21,$2.08,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,64.7,25.66,1,0,0
81,"Muscletech Mass Gainer Mass-Tech Extreme 2000, Muscle Builder Whey Protein  6lbs",196186098218.0,Other,-,3.0,176.45,168.99,$0.00,$7.46,$0.00,$33.15,$0.00,$0.00,$22.69,$10.46,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,135.84,58.82,2,0,0
82,"7UP Cherry Flavored Soda, 12 fl oz cans (Pack of 12)",196186720795.0,Other,-,3.0,45.46,42.09,$0.00,$3.37,$0.00,$10.62,$0.00,$0.00,$6.52,$4.10,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,31.47,15.15,3,0,0
83,"Mrs. Meyer's All-Purpose Cleaner Spray, Lemon Verbena, 16 fl. oz - Pack of 3",196187690742.0,Other,-,3.0,45.86,45.03,$0.00,$0.83,$0.00,$10.40,$0.00,$0.00,$6.27,$4.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,34.63,15.29,3,0,0
84,"RXBAR Protein Bars: 12g Protein, GF Snacks, Chocolate Variety Pack (10 Bars)",196190504658.0,Other,-,3.0,83.32,79.32,$0.00,$4.00,$0.00,$18.39,$0.00,$0.00,$10.89,$7.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60.93,27.77,3,1,0
85,"Pure Encapsulations Zinc 30mg - Immune Support, Highly Absorbable, 60 caps",196191878628.0,Other,-,3.0,89.74,88.37,$0.00,$1.37,$0.00,$20.66,$0.00,$0.00,$12.18,$8.07,$0.00,$0.00,$0.00,$0.41,$0.00,$0.00,$0.00,$0.00,67.71,29.91,3,0,0
86,"Ginger Drink Gold Kili 40 Sachets Packed in 2 Bags, 12.6 oz (With Honey)",196192376662.0,Other,-,3.0,74.94,74.94,$0.00,$0.00,$0.00,$14.61,$0.00,$0.00,$10.15,$4.46,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,60.33,24.98,2,0,0
87,NAVIGATING CHAOS: A Practical Handbook for Modern Survival,196279387496.0,Other,-,3.0,59.03,55.89,$0.00,$3.14,$0.00,$15.38,$0.00,$0.00,$8.29,$7.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,40.51,19.68,3,0,0
88,"Senior GSM Unlocked Cell Phone, 1.8"" Screen, Mini Three Proof, Factory Unlocked,",196279482297.0,Other,-,3.0,110.12,105.45,$0.00,$4.67,$0.00,$18.13,$0.00,$0.00,$11.00,$7.13,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,87.32,36.71,2,0,0
89,"Jethro Mobile Plan: No Contract, 8GB Data, Unlimited Talk & Text, SIM Kit (1 Yea",196279485023.0,Other,-,3.0,0.0,0.0,$0.00,$0.00,$0.00,$0.40,$0.00,$0.00,$38.83,$14.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$52.61,$0.00,-0.4,0.0,1,2,0
90,Boron 10mg 240 Servings Ultra High Absorption Supplement,196283055681.0,Other,-,3.0,62.49,60.23,$0.00,$2.26,$0.00,$19.20,$0.00,$0.00,$8.92,$1.90,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$8.38,41.03,20.83,1,0,0
91,"Puritan's Pride Odorless Garlic 1000 Mg, 100 Total Count",196284962626.0,Other,-,3.0,15.0,15.0,$0.00,$0.00,$0.00,$2.15,$0.00,$0.00,$2.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12.85,5.0,0,3,0
92,Dr Formulated Garden of Life 3-in-1 Pre/Pro/Postbiotic - 50 Billion CFU - 30 Day,196285888261.0,Other,-,3.0,186.7,171.72,$0.00,$14.98,$0.00,$23.46,$0.00,$0.00,$23.46,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,148.26,62.23,0,0,0
93,"Youtheory Ashwagandha Capsules, Maintain Cortisol, Reduce Stress, 60 Count",196286063775.0,Other,-,3.0,83.6,81.36,$0.00,$2.24,$0.00,$13.97,$0.00,$0.00,$11.53,$2.44,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,67.39,27.87,1,0,0
94,"Ka'Chava Chocolate Shake: 85+ Superfoods, 26g Nutrients, 25g Protein, 2lb",196286948805.0,Other,-,3.0,258.6,240.0,$0.00,$18.60,$0.00,$55.61,$0.00,$0.00,$32.34,$23.27,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,184.39,86.2,3,3,0
95,Groomie Charging Dock: Portable Stand for BaldiePro Trimmer,196287520533.0,Other,-,3.0,127.21,117.69,$0.00,$9.52,$0.00,$28.36,$0.00,$0.00,$16.91,$11.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,89.33,42.4,3,0,0
96,Duracell Coppertop AAA Alkaline Batteries 24/Pack (MN2400BKD) 2768002,196115526378.0,Other,-,2.0,58.3,55.0,$0.00,$3.30,$0.00,$7.50,$0.00,$0.00,$7.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,47.5,29.15,0,0,0
97,"Campbell's Condensed Beef Broth, 10.5 Ounce Can (Case of 12)",196119909806.0,Other,-,2.0,64.8,64.8,$0.00,$0.00,$0.00,$12.25,$0.00,$0.00,$8.30,$3.95,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,52.55,32.4,2,0,0
98,Bob's Red Mill - 5 Grain Hot Cereal Rolled - Case Of 4 - 16 Oz,196119926351.0,Other,-,2.0,35.52,35.18,$0.00,$0.34,$0.00,$6.71,$0.00,$0.00,$5.09,$1.62,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,28.47,17.76,1,0,0
99,E-Z Pool All in One Pool Care Solution (Regular 5 lb),196124104609.0,Other,-,2.0,216.63,202.94,$0.00,$13.69,$0.00,$38.13,$0.00,$0.00,$27.55,$9.96,$0.00,$0.00,$0.62,$0.00,$0.00,$0.00,$0.00,$0.00,164.81,108.32,1,1,0
100,S.Pellegrino Sparkling Natural Mineral Water 8.45 fl oz. 6 Count,196125824124.0,Other,-,2.0,47.3,47.3,$0.00,$0.00,$0.00,$9.45,$0.00,$0.00,$6.14,$3.31,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,37.85,23.65,2,0,0
101,"TheraBreath Dry Mouth Lozenges with ZINC, Tart Berry Flavor, 100 Lozenges",196126111000.0,Other,-,2.0,34.41,32.42,$0.00,$1.99,$0.00,$6.39,$0.00,$0.00,$4.85,$1.54,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,26.03,17.21,2,0,0
102,"Speedo Unisex-Adult Swim Goggles Mirrored Vanquisher 2.0,Silver",196129267014.0,Other,-,2.0,64.71,60.62,$0.00,$4.09,$0.00,$14.74,$0.00,$0.00,$8.59,$6.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,45.88,32.36,2,0,0
103,YONEX Nanoray Light 18i Graphite Badminton Racquet (Black),196129267584.0,Other,-,2.0,121.03,111.68,$0.00,$9.35,$0.00,$19.60,$0.00,$0.00,$15.55,$4.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,92.08,60.52,1,0,0
104,"GHIRARDELLI Chocolate Squares, Peppermint Bark Assorted Chocolates, 20.99 OZ Bag",196133091650.0,Other,-,2.0,48.25,46.75,$0.00,$1.50,$0.00,$7.64,$0.00,$0.00,$6.56,$1.08,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,39.11,24.13,1,0,0
105,"Combos Cheddar Cheese Baked Pretzel Snacks, 13.5 Oz. Bag, 13.5 Oz",196133100864.0,Other,-,2.0,25.93,25.59,$0.00,$0.34,$0.00,$4.58,$0.00,$0.00,$3.80,$0.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.01,12.97,2,0,0
106,"IMUSA Electric NonStick Rice Cooker, 5-Cup (Uncooked)/10-Cup (Cooked), White",196137942384.0,Other,-,2.0,88.3,81.13,$0.00,$7.17,$0.00,$16.89,$0.00,$0.00,$11.51,$5.38,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,64.24,44.15,2,0,0
107,Vaseline Petroleum Jelly For Dry Cracked Skin and Eczema Relief Original 7.5 oz,196167758530.0,Other,-,2.0,31.18,29.0,$0.00,$2.18,$0.00,$6.36,$0.00,$0.00,$4.15,$2.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,22.64,15.59,2,0,0
108,PuriLens Plus Preservative Free Saline Three 4 Fl Oz(120-mL) Bottles,196167771525.0,Other,-,2.0,53.79,50.67,$0.00,$3.12,$0.00,$11.06,$0.00,$0.00,$7.24,$3.82,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,39.61,26.9,2,0,0
109,"Elmer's Glue-All Multi-Purpose Glue, 1.25 Ounces, White (E1323)",196167776212.0,Other,-,2.0,11.88,11.08,$0.00,$0.80,$0.00,$2.60,$0.00,$0.00,$2.07,$0.43,$0.00,$0.00,$0.00,$0.10,$0.00,$0.00,$0.00,$0.00,8.48,5.94,1,0,0
110,Item ID 196167779846,196167779846.0,Other,-,2.0,23.18,23.18,$0.00,$0.00,$0.00,$4.81,$0.00,$0.00,$3.16,$1.65,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,18.37,11.59,2,0,0
111,"PLANTERS Salted Cocktail Peanuts, Party Snacks, Plant-Based Protein, 2.19 lb Jar",196169197468.0,Other,-,2.0,29.37,28.94,$0.00,$0.43,$0.00,$13.13,$0.00,$0.00,$4.32,$2.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$6.72,15.81,14.69,2,0,0
112,"SHARPIE Permanent Markers, Ultra Fine Point, Assorted Colors, 12 Count",196169213797.0,Other,-,2.0,42.15,39.69,$0.00,$2.46,$0.00,$8.90,$0.00,$0.00,$5.90,$3.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,30.79,21.08,2,0,0
113,"Swiss Miss Milk Chocolate Hot Cocoa Keurig Single-Serve K Cup Pods, 28 Count",196169227101.0,Other,-,2.0,49.57,48.35,$0.00,$1.22,$0.00,$10.24,$0.00,$0.00,$6.72,$3.52,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,38.11,24.79,2,1,0
114,"Jif Creamy Peanut Butter, 36 Count",196169232583.0,Other,-,2.0,24.01,23.54,$0.00,$0.47,$0.00,$4.97,$0.00,$0.00,$5.81,$2.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$3.83,$0.00,18.57,12.01,2,0,0
115,"Wheat Thins Original Whole Grain Wheat Crackers, Party Size, 20 oz Box",196169257242.0,Other,-,2.0,18.0,18.0,$0.00,$0.00,$0.00,$2.52,$0.00,$0.00,$2.52,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,15.48,9.0,0,2,0
116,"Amazon Brand - Happy Belly Garbanzo Beans, 15 Ounce",196169918248.0,Other,-,2.0,6.75,6.48,$0.00,$0.27,$0.00,$1.54,$0.00,$0.00,$1.13,$0.41,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,4.94,3.38,2,0,0
117,"Little Debbie Zebra Cakes, 80 Twin-Wrapped Snack Cakes (8 Boxes)",196171145971.0,Other,-,2.0,72.45,70.08,$0.00,$2.37,$0.00,$15.71,$0.00,$0.00,$9.55,$6.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,54.37,36.23,2,0,0
118,"Partanna Extra Virgin Olive Oil, 34-Ounce",196171146981.0,Other,-,2.0,79.88,76.83,$0.00,$3.05,$0.00,$17.26,$0.00,$0.00,$10.47,$6.79,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,59.57,39.94,2,0,0
119,"STARBURST Airs Tropical Sour Gummy Candy, 4.3 oz Bag",196171176409.0,Other,-,2.0,10.67,10.09,$0.00,$0.58,$0.00,$2.31,$0.00,$0.00,$1.92,$0.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7.78,5.34,1,0,0
120,"Duke's Mayonnaise Squeeze, 18 oz",196171177523.0,Other,-,2.0,27.19,27.19,$0.00,$0.00,$0.00,$5.28,$0.00,$0.00,$3.92,$1.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,21.91,13.6,1,1,0
121,"Goldfish Cheddar Crackers, 27.3 oz carton, 2 CT box",196171201368.0,Other,-,2.0,32.27,32.27,$0.00,$0.00,$0.00,$6.05,$0.00,$0.00,$4.58,$1.47,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,26.22,16.14,1,1,0
122,"Amazon Brand - Happy Belly Black Beans, 15 Ounce",196171209934.0,Other,-,2.0,12.15,11.46,$0.00,$0.69,$0.00,$1.80,$0.00,$0.00,$1.80,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9.66,6.08,0,0,0
123,"Authentic Royal Royal Basmati Rice, 15-Pound Bag, White",196171260342.0,Other,-,2.0,84.72,82.86,$0.00,$1.86,$0.00,$17.96,$0.00,$0.00,$10.76,$7.20,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,64.9,42.36,2,0,0
124,"Pillsbury Soft Baked Cookies, Chocolate Chip, 9.53 oz, 18 ct",196171275125.0,Other,-,2.0,16.03,16.03,$0.00,$0.00,$0.00,$3.94,$0.00,$0.00,$2.58,$1.36,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12.09,8.02,2,0,0
125,"SKIPPY SUPER CHUNK Extra Crunchy Peanut Butter, 64 Ounce",196171283103.0,Other,-,2.0,32.32,32.0,$0.00,$0.32,$0.00,$7.08,$0.00,$0.00,$4.29,$2.75,$0.00,$0.00,$0.04,$0.00,$0.00,$0.00,$0.00,$0.00,24.92,16.16,2,2,0
126,"JUSTIN'S Classic No Stir Gluten-Free Peanut Butter Spread, 28 Ounce Jar",196171283284.0,Other,-,2.0,28.42,27.84,$0.00,$0.58,$0.00,$4.11,$0.00,$0.00,$4.11,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,23.73,14.21,0,0,0
127,Clear Formulas CoQ10 200mg 200 Capsules Quick Absorption Non-GMO,196174480277.0,Other,-,2.0,63.64,63.64,$0.00,$0.00,$0.00,$8.16,$0.00,$0.00,$8.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,55.48,31.82,0,0,0
128,"Youtheory Collagen Advanced with Vitamin C, 290 Count (1 Bottle)",196174492490.0,Other,-,2.0,78.15,72.28,$0.00,$5.87,$0.00,$16.98,$0.00,$0.00,$9.95,$7.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,55.3,39.08,2,0,0
129,Item ID 196174496965,196174496965.0,Other,-,2.0,40.77,38.5,$0.00,$2.27,$0.00,$9.31,$0.00,$0.00,$5.64,$3.67,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,29.19,20.39,2,0,0
130,"Nature's Bounty Echinacea Complex: Herbal Immunity Support, 450mg, 100 Capsules",196174497472.0,Other,-,2.0,47.97,47.97,$0.00,$0.00,$0.00,$9.42,$0.00,$0.00,$6.72,$2.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,38.55,23.99,1,1,0
131,Kyolic Aged Garlic Extract Healthy Heart Formula 106 - 100 Capsules,196174505999.0,Other,-,2.0,54.79,54.62,$0.00,$0.17,$0.00,$12.30,$0.00,$0.00,$7.37,$4.93,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,42.32,27.4,2,0,0
132,"T.N. Dickinson's Hemorrhoidal Pads, Witch Hazel with Aloe, Clear, 100 Count",196174520825.0,Other,-,2.0,41.1,38.74,$0.00,$2.36,$0.00,$9.18,$0.00,$0.00,$5.48,$3.70,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,29.56,20.55,2,0,0
133,New Chapter Every Woman's One Daily Multivitamin - 24 ct,196174561171.0,Other,-,2.0,68.4,68.4,$0.00,$0.00,$0.00,$15.31,$0.00,$0.00,$9.15,$6.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,53.09,34.2,2,1,0
134,"Ancient Nutrition Unflavored Collagen Peptides, 9.88 OZ",196174563402.0,Other,-,2.0,53.96,50.31,$0.00,$3.65,$0.00,$9.61,$0.00,$0.00,$7.26,$2.35,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,40.7,26.98,1,0,1
135,"Muscle Milk Gainer Protein Powder, Vanilla Creme, 32g Protein, 5 Pound",196176109227.0,Other,-,2.0,116.42,116.42,$0.00,$0.00,$0.00,$26.04,$0.00,$0.00,$14.98,$11.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,90.38,58.21,2,0,0
136,"GHIRARDELLI Premium Choc Squares, Chocolate Assortment, 15.77 Oz - Accurate!",196183749332.0,Other,-,2.0,38.66,36.26,$0.00,$2.40,$0.00,$9.04,$0.00,$0.00,$5.37,$3.67,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,27.22,19.33,2,2,0
137,"Contadina Petite Cut Canned Diced Roma Style Tomatoes, 14.5 Oz (Pack of 6)",196183775800.0,Other,-,2.0,30.48,30.48,$0.00,$0.00,$0.00,$5.81,$0.00,$0.00,$4.36,$1.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,24.67,15.24,1,0,0
138,"Maypo Instant Maple Oatmeal, 3-pack",196183781743.0,Other,-,2.0,53.21,53.21,$0.00,$0.00,$0.00,$11.96,$0.00,$0.00,$7.17,$4.79,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,41.25,26.61,2,0,0
139,"Quaker Instant Oatmeal, 4 Flavor Variety Pack, Individual Packets, 48 Count",196183783183.0,Other,-,2.0,57.38,57.38,$0.00,$0.00,$0.00,$10.82,$0.00,$0.00,$7.79,$3.03,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,46.56,28.69,1,0,0
140,"Quaker, Instant Steel Cut Oatmeal, Cranberries And Blueberries, 8 Ct",196183783637.0,Other,-,2.0,29.3,29.3,$0.00,$0.00,$0.00,$6.70,$0.00,$0.00,$3.92,$2.78,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,22.6,14.65,2,0,0
141,HORMEL COMPLEATS 7.5 oz Variety Pack (Pack of 5),196183790932.0,Other,-,2.0,49.86,49.86,$0.00,$0.00,$0.00,$17.73,$0.00,$0.00,$6.86,$4.74,$0.00,$0.00,$0.04,$0.00,$0.00,$0.00,$0.00,$6.09,32.13,24.93,2,0,0
142,"Iberia Jasmine Rice, 10 lb.",196183827383.0,Other,-,2.0,39.32,39.32,$0.00,$0.00,$0.00,$5.16,$0.00,$0.00,$5.16,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,34.16,19.66,0,0,0
143,"Sunny Fruit Organic Apricots, Soft and Succulent Dried Turkish Apricots",196183834216.0,Other,-,2.0,36.14,36.14,$0.00,$0.00,$0.00,$8.19,$0.00,$0.00,$4.76,$3.43,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,27.95,18.07,2,0,0
144,"Cascadian Farm Organic Granola, Cinnamon Raisin Cereal, Resealable Pouch, 11 oz",196183835374.0,Other,-,2.0,29.0,29.0,$0.00,$0.00,$0.00,$6.64,$0.00,$0.00,$3.88,$2.76,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,22.36,14.5,2,0,0
145,"Scotch-Brite Lint Roller, Works Great On Pet Hair, 95 Sheets",196186488910.0,Other,-,2.0,24.55,23.16,$0.00,$1.39,$0.00,$5.54,$0.00,$0.00,$3.33,$2.21,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,17.62,12.28,2,2,0
146,Ritz Clean 2pk Lint Traps Nylon mesh- Bulk Pack of 24,196186490717.0,Other,-,2.0,95.02,87.88,$0.00,$7.14,$0.00,$22.43,$0.00,$0.00,$12.44,$9.99,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,65.45,47.51,2,0,0
147,"Cameron's Coffee Ground Coffee Bag, Breakfast Blend, 32oz (1 Pack)",196186706468.0,Other,-,2.0,39.16,39.16,$0.00,$0.00,$0.00,$8.76,$0.00,$0.00,$5.24,$3.52,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,30.4,19.58,2,0,0
148,"Diet Dr Pepper Soda, 12 fl oz cans (Pack of 12)",196186721311.0,Other,-,2.0,28.36,26.52,$0.00,$1.84,$0.00,$6.45,$0.00,$0.00,$3.90,$2.55,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,20.07,14.18,2,0,0
149,"Paradise Old English Fruit and Peel Mix, 32 Oz",196187840407.0,Other,-,2.0,40.68,40.68,$0.00,$0.00,$0.00,$8.98,$0.00,$0.00,$5.32,$3.66,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,31.7,20.34,2,0,0
150,"Remington Smooth and Silky Facial Epilator, EP1050CDN",196189568869.0,Other,-,2.0,44.67,43.36,$0.00,$1.31,$0.00,$10.14,$0.00,$0.00,$6.12,$4.02,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,33.22,22.34,2,0,0
151,"NATURELO Whole Food Multivitamin - Men's Energy, Brain, Heart Health - 240 Vegan",196190600864.0,Other,-,2.0,228.53,226.33,$0.00,$2.20,$0.00,$49.50,$0.00,$0.00,$28.93,$20.57,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,176.83,114.27,2,1,0
152,"310 Nutri's All-In-1 Shake: New Vegan Formula - Low Carb, Keto/Paleo Friendly - ",196191803576.0,Other,-,2.0,261.88,261.88,$0.00,$0.00,$0.00,$56.50,$0.00,$0.00,$32.94,$23.56,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,205.38,130.94,2,0,0
153,"OLLY Beauty Gummy: Hair, Skin, Nails, Biotin, Vitamin C, Keratin - 30 Day Supply",196191839860.0,Other,-,2.0,43.49,43.0,$0.00,$0.49,$0.00,$9.89,$0.00,$0.00,$5.97,$3.92,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,33.11,21.75,2,0,0
154,"Baseball Bat Used for Baseball and self Defense,Alloy Steel,25 Inch (Silver)",196192179234.0,Other,-,2.0,74.76,74.76,$0.00,$0.00,$0.00,$16.36,$0.00,$0.00,$9.63,$6.73,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,58.4,37.38,2,0,0
